EN,ZH
click,点击
tap,点击
move,移到
hover,移到
type,输入
enter,输入
select,选择
choose,选择
read,读取
fetch,读取
show,显示
print,显示
save,保存
echo,回显
dump,转储
write,写入
snap,快照
table,表格
mouse,鼠标
keyboard,键盘
live,互动
download,下载
upload,上传
load,加载
receive,接收
frame,框架
popup,弹出
wait,等待
timeout,超时
seconds,秒
second,秒
api,api
dom,dom
js,js
vision,视觉
else if,否则如果
else,否则
if,如果
for,循环
while,循环当
check,验证
more than or equals to,大于或等于
more than or equal to,大于或等于
greater than or equals to,大于或等于
greater than or equal to,大于或等于
higher than or equals to,大于或等于
higher than or equal to,大于或等于
less than or equals to,小于或等于
less than or equal to,小于或等于
lesser than or equals to,小于或等于
lesser than or equal to,小于或等于
lower than or equals to,小于或等于
lower than or equal to,小于或等于
more than,大于
greater than,大于
higher than,大于
less than,小于
lesser than,小于
lower than,小于
not equals to,不等于
not equal to,不等于
equals to,等于
equal to,等于
not contains,不含
not contain,不含
contains,包含
contain,包含
and,与
or,或
from,从
to,到
as,为
title(),标题()
url(),网址()
text(),文本()
timer(),计时()
count(),计数()
present(),存在()
visible(),可见()
mouse_xy(),鼠标_xy()
mouse_x(),鼠标_x()
mouse_y(),鼠标_y()
